cluster_id,canonical_name,member_name,member_occurrences,similarity_to_canonical,decks,units,action
38,Active Users,Active Users,6,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,percent,keep
39,Ad Format,Ad Format,3,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,ratio,keep
40,"Adam, Laura, Megan","Adam, Laura, Megan",6,1.0000,Disney+ US FY24 H2,count; currency,keep
41,Attributed Installs →,Attributed Installs →,5,1.0000,Disney+ US FY24 H2,count,keep
42,Average Duration (Minutes),Average Duration (Minutes),1,1.0000,Disney+ EMEA  FY24 H2,count,keep
43,Average DurationCompanion,Average DurationCompanion,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
44,Average DurationCompanion: 70.68,Average DurationCompanion: 70.68,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
45,Average DurationCountdown,Average DurationCountdown,1,1.0000,Disney+ EMEA  FY25 H2,time,keep
46,Average DurationCountdown : 68.56 Min,Average DurationCountdown : 68.56 Min,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
47,Avg Monthly Freq,Avg Monthly Freq,2,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,ratio,keep
48,Avg duration per launch,Avg duration per launch,12,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,percent; time,keep
49,Avg. Frequency,Avg. Frequency,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,ratio,keep
50,Avg. Mins/Launch,Avg. Mins/Launch,2,1.0000,Disney+ EMEA  FY24 H2,time,keep
51,BAU,BAU,4,1.0000,Disney+ EMEA  FY25 H2,currency; percent; time,keep
52,Banner,Banner,3,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,ratio,keep
53,Blockbuster Offer 24,Blockbuster Offer 24,2,1.0000,Disney+ EMEA  FY24 H2,count,keep
54,Bundle,Bundle,1,1.0000,Disney+ US FY25 H1,currency,keep
55,COMP,COMP,1,1.0000,Disney+ US FY25 H1,count,keep
56,CPA,CPA,80,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count; currency; percent,keep
57,CPE,CPE,82,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,currency; percent,keep
58,CPE (Lapsed),CPE (Lapsed),1,1.0000,Disney+ EMEA  FY24 H2,currency,keep
59,CPEH2’24,CPEH2’24,1,1.0000,Disney+ EMEA FY25 H1,currency,keep
60,CPEH2’24: $3.30,CPEH2’24: $3.30,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
61,CTR,CTR,26,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,percent,keep
62,CTR Increase,CTR Increase,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
63,CTR across Disney+ Korea campaign,CTR across Disney+ Korea campaign,1,1.0000,Disney+ US FY25 H1,percent,keep
64,CTR vs. Overall Q3 UK & DE,CTR vs. Overall Q3 UK & DE,3,1.0000,Disney+ EMEA  FY25 H2,percent; ratio,keep
65,CTRCountdown,CTRCountdown,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
66,CTRCountdown: 0.20%,CTRCountdown: 0.20%,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
67,Carousel Creative Analysis,Carousel Creative Analysis,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
68,Carousel Home Screen | TV Models,Carousel Home Screen | TV Models,7,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
69,Click-through-Rate (CTR),Click-through-Rate (CTR),1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
70,Clicks,Clicks,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
71,Companion,Companion,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
72,Companion Video,Companion Video,1,1.0000,Disney+ US FY24 H2,ratio,keep
73,Content Store,Content Store,3,1.0000,Disney+ EMEA FY25 H1,percent,keep
74,Content Store RB,Content Store RB,2,1.0000,Disney+ US FY24 H2,currency; percent,keep
75,Content Store Roadblock drives 2–4x CTR,Content Store Roadblock drives 2–4x CTR,3,1.0000,Disney+ EMEA  FY25 H2,count,keep
76,Cost Per Companion,Cost Per Companion,1,1.0000,Disney+ EMEA  FY25 H2,currency,keep
77,Cost Per Companion: $0.28,Cost Per Companion: $0.28,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
78,Cost Per Install,Cost Per Install,1,1.0000,Disney+ EMEA  FY24 H2,currency,keep
79,Cost Per Proxy Conversions,Cost Per Proxy Conversions,1,1.0000,Disney+ EMEA  FY25 H2,currency,keep
80,Cost PersH1’25,Cost PersH1’25,1,1.0000,Disney+ EMEA  FY25 H2,currency,keep
81,Cost PersH1’25: $2.62,Cost PersH1’25: $2.62,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
82,Cost per Acquired User,Cost per Acquired User,1,1.0000,Disney+ EMEA  FY24 H2,currency,keep
83,Cost per Acquired User (CPA): Cost to acquire a net new user,Cost per Acquired User (CPA): Cost to acquire a net new user,22,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,count; currency,keep
84,Cost per Engaged User,Cost per Engaged User,1,1.0000,Disney+ EMEA  FY24 H2,currency,keep
85,Cost per Engaged User (CPE): Cost paid per engaged user,Cost per Engaged User (CPE): Cost paid per engaged user,2,1.0000,Disney+ EMEA  FY24 H2,count,keep
86,Cost per Engaged User (CPE): Cost to engage a Lapsed user,Cost per Engaged User (CPE): Cost to engage a Lapsed user,5,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,currency,keep
87,Cost pers,Cost pers,16,1.0000,Disney+ EMEA  FY25 H2,percent,keep
88,Cost pers Countdown,Cost pers Countdown,1,1.0000,Disney+ EMEA  FY25 H2,currency,keep
89,Custom Animated Creative,Custom Animated Creative,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
90,Customizable real estate surrounds the video window where your,Customizable real estate surrounds the video window where your,2,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY24 H2,count,keep
91,Czech,Czech,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,keep
92,D+ App Users,D+ App Users,1,1.0000,Disney+ EMEA FY25 H1,count,keep
93,D+ Growth in MAUs (April 25,D+ Growth in MAUs (April 25,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
94,D+ Growth in MAUs (Oct 24,D+ Growth in MAUs (Oct 24,2,1.0000,Disney+ EMEA FY25 H1,count,keep
95,DE,DE,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,keep
96,December,December,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
97,Discrepancy between LG MAUs and D+ MAUs,Discrepancy between LG MAUs and D+ MAUs,1,1.0000,Disney+ US FY24 H2,count,keep
98,Disney XLOB FY25 Partnership,Disney XLOB FY25 Partnership,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,currency,keep
99,Disney+ App on LG TVs,Disney+ App on LG TVs,3,1.0000,Disney+ EMEA  FY25 H2,count,keep
100,Disney+ KR CTR,Disney+ KR CTR,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
101,Domestic,Domestic,1,1.0000,Disney+ US FY25 H1,count,keep
102,Duration,Duration,1,1.0000,Disney+ EMEA  FY25 H2,time,keep
103,Duration per Session,Duration per Session,2,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,time,keep
104,EU5 App Penetration,EU5 App Penetration,2,1.0000,Disney+ EMEA  FY25 H2,percent,keep
105,Engaged User,Engaged User,6,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
106,Engaged Users,Engaged Users,5,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,count; percent,keep
107,Engaged Users vs Overall Engaged Users,Engaged Users vs Overall Engaged Users,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
108,Engaged UsersH2’24,Engaged UsersH2’24,2,1.0000,Disney+ US FY25 H1,count,keep
109,Engaged UsersH2’24: 46.6K,Engaged UsersH2’24: 46.6K,2,1.0000,Disney+ US FY25 H1,percent,keep
110,Engagement,Engagement,1,1.0000,Disney+ US FY24 H2,count,keep
111,Engagement Proxy,Engagement Proxy,9,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count; currency,keep
112,Europe,Europe,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
113,Europe LG Smart TVs,Europe LG Smart TVs,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
114,FY25,FY25,4,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
115,Flight,Flight,1,1.0000,Disney+ EMEA FY25 H1,count,keep
116,Frequency,Frequency,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; ratio,keep
117,Gap between LG and D+ MAU,Gap between LG and D+ MAU,1,1.0000,Disney+ US FY25 H1,count,keep
118,Growth Since ‘24,Growth Since ‘24,3,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,percent,keep
119,H1’25,H1’25,12,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; currency,keep
120,H2’25,H2’25,4,1.0000,Disney+ EMEA  FY25 H2,count; currency,keep
121,Half Video (16,Half Video (16,1,1.0000,Disney+ US FY25 H1,count,keep
122,High Impact and Rotational,High Impact and Rotational,1,1.0000,Disney+ EMEA  FY24 H2,percent,keep
123,Higher CTR,Higher CTR,3,1.0000,Disney+ EMEA  FY25 H2,percent; ratio,keep
124,Higher CTR vs overall H2,Higher CTR vs overall H2,1,1.0000,Disney+ US FY24 H2,ratio,keep
125,Higher CTR vs. Benchmark,Higher CTR vs. Benchmark,2,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,ratio,keep
126,Higher Install Rate than Native Home Screen Roadblock,Higher Install Rate than Native Home Screen Roadblock,1,1.0000,Disney+ US FY24 H2,ratio,keep
127,Higher Launch Rate,Higher Launch Rate,4,1.0000,Disney+ EMEA  FY25 H2,percent; ratio,keep
128,Highest Install rate,Highest Install rate,2,1.0000,Disney+ EMEA  FY24 H2,percent,keep
129,Highest Launch Rate,Highest Launch Rate,2,1.0000,Disney+ EMEA  FY24 H2,percent,keep
130,Home Screen Roadblocks - Launch Lift,Home Screen Roadblocks - Launch Lift,13,1.0000,Disney+ EMEA  FY25 H2,percent,keep
131,Impressions,Impressions,22,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
132,"In a single day, the Home Screen Roadblocks reached over 5.4M devices","In a single day, the Home Screen Roadblocks reached over 5.4M devices",2,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,keep
133,Install Lift,Install Lift,38,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,percent,keep
134,Install Rate,Install Rate,11,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,percent,keep
135,Installs,Installs,20,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count; percent,keep
136,Installs to Acquired Users Ratio,Installs to Acquired Users Ratio,3,1.0000,Disney+ US FY24 H2; Disney+ US FY25 H1,percent,keep
137,Installs to Acquisition Ratio,Installs to Acquisition Ratio,1,1.0000,Disney+ US FY24 H2,percent,keep
138,InstallsH2’24,InstallsH2’24,3,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
139,InstallsH2’24: 263.5K,InstallsH2’24: 263.5K,2,1.0000,Disney+ US FY25 H1,percent,keep
140,InstallsH2’24: 699K,InstallsH2’24: 699K,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
141,Intender Definition,Intender Definition,1,1.0000,Disney+ US FY25 H1,count,keep
142,Intender Opportunity Audience,Intender Opportunity Audience,1,1.0000,Disney+ US FY24 H2,count,keep
143,Intenders = Installers who did NOT become an acquired user Source,Intenders = Installers who did NOT become an acquired user Source,1,1.0000,Disney+ US FY24 H2,count,keep
144,June 9th & 16th,June 9th & 16th,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
145,LATAM,LATAM,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
146,LG vs Disney+ MAU Growth,LG vs Disney+ MAU Growth,8,1.0000,Disney+ US FY25 H1,currency; percent,keep
147,Lapsed Users,Lapsed Users,5,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,percent,keep
148,Launch Lift,Launch Lift,4,1.0000,Disney+ US FY24 H2,percent,keep
149,Launch Rate,Launch Rate,24,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,currency; percent; ratio,keep
150,Launch Rate VS Overall,Launch Rate VS Overall,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
151,Launch RateCompanion,Launch RateCompanion,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
152,Launch RateCompanion: 28.42%,Launch RateCompanion: 28.42%,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
153,Launch RateCountdown,Launch RateCountdown,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
154,Launch RateCountdown: 14.70%,Launch RateCountdown: 14.70%,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
155,Launch rate vs Static,Launch rate vs Static,1,1.0000,Disney+ EMEA  FY24 H2,ratio,keep
156,Launches,Launches,19,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
157,Launches from H1,Launches from H1,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
158,Launches vs Overall Launches,Launches vs Overall Launches,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
159,LaunchesH1’25,LaunchesH1’25,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
160,LaunchesH1’25: 12.0M,LaunchesH1’25: 12.0M,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
161,LaunchesH2’24,LaunchesH2’24,2,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
162,LaunchesH2’24: 32.5M,LaunchesH2’24: 32.5M,1,1.0000,Disney+ US FY25 H1,percent,keep
163,LaunchesH2’24: 9.4M,LaunchesH2’24: 9.4M,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
164,Lower CPE of $0.42 vs. UK H2 Overall,Lower CPE of $0.42 vs. UK H2 Overall,1,1.0000,Disney+ EMEA  FY24 H2,percent,keep
165,Lowest CPE,Lowest CPE,2,1.0000,Disney+ EMEA  FY24 H2,currency,keep
166,Market Reach,Market Reach,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
167,Markets,Markets,3,1.0000,Disney+ EMEA  FY25 H2,count; ratio,keep
168,Moana 2,Moana 2,1,1.0000,Disney+ US FY25 H1,count,keep
169,More Acquired Users than Homescreen RB,More Acquired Users than Homescreen RB,2,1.0000,Disney+ EMEA FY25 H1,percent,keep
170,More Efficient CPA vs Last Half,More Efficient CPA vs Last Half,2,1.0000,Disney+ US FY24 H2,percent,keep
171,More Efficient CPE VS Overall,More Efficient CPE VS Overall,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
172,More Efficient CPE vs Overall ROS,More Efficient CPE vs Overall ROS,1,1.0000,Disney+ US FY25 H1,percent,keep
173,More Efficient Cost per Proxy Conversions,More Efficient Cost per Proxy Conversions,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
174,More Launches vs Last Half,More Launches vs Last Half,1,1.0000,Disney+ US FY25 H1,percent,keep
175,More avg. duration/launch vs static,More avg. duration/launch vs static,1,1.0000,Disney+ EMEA  FY24 H2,time,keep
176,Multi-Card,Multi-Card,2,1.0000,Disney+ US FY24 H2,percent,keep
177,Multi-Card Carousel Roadblock,Multi-Card Carousel Roadblock,1,1.0000,Disney+ US FY24 H2,ratio,keep
178,Native Home Screen,Native Home Screen,2,1.0000,Disney+ EMEA FY25 H1,count,keep
179,Native Roadblocks,Native Roadblocks,1,1.0000,Disney+ US FY24 H2,currency,keep
180,New Users reached via Roadblocks (4.6x frequency),New Users reached via Roadblocks (4.6x frequency),1,1.0000,Disney+ EMEA  FY24 H2,count,keep
181,Objective,Objective,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
182,Of Engaged Users,Of Engaged Users,2,1.0000,Disney+ EMEA  FY24 H2,percent,keep
183,Of H1 Investment,Of H1 Investment,2,1.0000,Disney+ EMEA FY25 H1,percent,keep
184,Of Q3 UK & DE Investment,Of Q3 UK & DE Investment,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
185,"Of Q4 UK, DE, IT, & FR Investment","Of Q4 UK, DE, IT, & FR Investment",1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
186,Of Total Installs,Of Total Installs,2,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,percent,keep
187,One intro slide,One intro slide,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
188,Open,Open,1,1.0000,Disney+ US FY24 H2,count,keep
189,Overall H1 Investment,Overall H1 Investment,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
190,Overall H2,Overall H2,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
191,Overall H2 Investment,Overall H2 Investment,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
192,Overall Q2/Q3,Overall Q2/Q3,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
193,Penetration of LG MAUs,Penetration of LG MAUs,2,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,keep
194,Proxy,Proxy,1,1.0000,Disney+ EMEA  FY25 H2,ratio,keep
195,Proxy Conversions,Proxy Conversions,2,1.0000,Disney+ EMEA  FY25 H2,count,keep
196,Proxy ConversionsH1’25,Proxy ConversionsH1’25,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
197,Proxy ConversionsH1’25: 975.1K,Proxy ConversionsH1’25: 975.1K,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
198,ROS,ROS,2,1.0000,Disney+ US FY24 H2,currency,keep
199,ROS Lapsed,ROS Lapsed,5,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY24 H2,percent,keep
200,ROS Not Installed,ROS Not Installed,3,1.0000,Disney+ EMEA FY25 H1,percent,keep
201,Reach,Reach,6,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
202,ReachH1’25,ReachH1’25,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
203,ReachH1’25: 14.6M,ReachH1’25: 14.6M,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
204,ReachH2’24,ReachH2’24,3,1.0000,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
205,ReachH2’24: 11.6M,ReachH2’24: 11.6M,1,1.0000,Disney+ EMEA FY25 H1,percent,keep
206,ReachH2’24: 11.75M,ReachH2’24: 11.75M,2,1.0000,Disney+ US FY25 H1,percent,keep
207,Recommendations for FY26 and Beyond,Recommendations for FY26 and Beyond,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
208,Roadblock,Roadblock,6,1.0000,Disney+ EMEA  FY24 H2,ratio,keep
209,Roadblocks,Roadblocks,3,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,percent,keep
210,SAL,SAL,1,1.0000,Disney+ US FY25 H1,currency,keep
211,Seasonal Promo ROS - Install Lifts,Seasonal Promo ROS - Install Lifts,5,1.0000,Disney+ EMEA  FY24 H2,percent,keep
