metric_name,normalized_name,canonical_name,occurrences,deck_count,decks,units,categories,looks_metric_like,name_length,token_count,sample_context
Cost pers,cost pers,Cost pers,16,1,Disney+ EMEA  FY25 H2,percent,cost,false,9,2,"Cost pers 1% A majority of secondary markets delivered a cost per proxy conversion under $5.00, with Turkey being the least efficient market while also driving the highest level of investment across the secondary group. "
EMEA Active User Growth,emea active user growth,EMEA Active User Growth,16,2,Disney+ EMEA  FY24 H2; Disney+ EMEA FY25 H1,count,performance,false,23,4,"EMEA Active User Growth Greece: 133K +11% Turkey: 262K +10% Spain: 1.2M +8% D+ Growth in MAUs (April → Sept ‘24) In H2 of FY’24, Disney+ ran in 14 markets including UK, Germany, Spain, France, Italy, Greece, Hungary, Pol"
Home Screen Roadblocks - Launch Lift,home screen roadblocks launch lift,Home Screen Roadblocks - Launch Lift,13,1,Disney+ EMEA  FY25 H2,percent,performance,true,36,5,Home Screen Roadblocks - Launch Lift +43%
Avg duration per launch,avg duration per launch,Avg duration per launch,12,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,percent; time,engagement,true,23,4,Avg duration per launch EMEA: Paid Media Improves App Engagement +15% Exposure to LG paid media led to an average time spent per launch of over 1 hour versus the overall Disney+ audience across EMEA markets LG exposed au
H1’25,h1 25,H1’25,12,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; currency,other,false,5,2,+27% LaunchesH2’24: 9.4M H1’25: 12.0M H1’25 vs H2’24 Analysis
Install Rate,install rate,Install Rate,11,3,Disney+ EMEA  FY24 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,percent,performance,true,12,2,Carousel Static vs Carousel Companion [TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mi
Engagement Proxy,engagement proxy,Engagement Proxy,9,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count; currency,engagement,true,16,2,Engagement Proxy Cost per Engaged User (CPE): Cost to engage a Lapsed user 211K
LG vs Disney+ MAU Growth,lg vs disney mau growth,LG vs Disney+ MAU Growth,8,1,Disney+ US FY25 H1,currency; percent,reach,true,24,5,"LG vs Disney+ MAU Growth +11% Disney+ MAUs have consistently spiked in tandem with paid media investment over the past six months, highlighting a strong correlation between high impact and ROS with an opportunity to clos"
Carousel Home Screen | TV Models,carousel home screen tv models,Carousel Home Screen | TV Models,7,3,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2; Disney+ US FY25 H1,count,other,false,32,5,3D Animation Carousel - US Carousel Home Screen | TV Models: 2019 & Newer
Total Launches,total launches,Total Launches,7,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,performance,false,14,2,Duration per Session Total Launches: 9.4M Total Installs: 699K
Active Users,active users,Active Users,6,4,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,percent,other,false,12,2,Active Users 33% Installed: All active LG TV users who had the app installed at some point. Not Installed: All active LG TV users who do not have the app installed. Lapsed: All active LG TV users who did not use the app 
"Adam, Laura, Megan",adam laura megan,"Adam, Laura, Megan",6,1,Disney+ US FY24 H2,count; currency,other,false,18,3,"Adam, Laura, Megan 59.9K"
Avg Duration,avg duration,Avg Duration,6,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; time,engagement,true,12,2,Data Updated Avg Duration 58 mins Avg. Frequency 4.58x
Engaged User,engaged user,Engaged User,6,5,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,engagement,false,12,2,FY24 H2 CPE - Lapsed ROS Engaged User: any user that launches Disney+ for 2 or more +30 minute session within 7 day attribution window Cost per Engaged User (CPE): Cost to engage a Lapsed user
Reach,reach,Reach,6,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,reach,true,5,1,Power of Homescreen Roadblocks Reach 4.9M Investment $430K
Roadblock,roadblock,Roadblock,6,1,Disney+ EMEA  FY24 H2,ratio,other,false,9,1,Investment = $2.25M [TABLE] Market | Not Installed ROS | Lapsed ROS | Seasonal Promo | Roadblock UK | x | x | x | 2x Germany | x | x | x | 1x Sweden | x | x | | 3x Spain | x | x | x | Netherlands | | x | | Italy | x | ne
Source,source,Source,6,4,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,other,false,6,1,Installed: All active LG TV users who had the app installed at some point. Not Installed: All active LG TV users who do not have the app installed. Lapsed: All active LG TV users who did not use the app within the last 6
Spring Promo Roadblocks Install Lifts,spring promo roadblocks install lifts,Spring Promo Roadblocks Install Lifts,6,1,Disney+ EMEA FY25 H1,percent,performance,true,37,5,"Spring Promo Roadblocks Install Lifts by Market +88% All Spring Promo Roadblocks (29 of March) delivered strong Install Lift vs. control across EMEA, led by Italy (+88%), Poland (+86%), and UK (+77%)."
3D,3d,3D,5,2,Disney+ EMEA  FY25 H2; Disney+ US FY24 H2,count; currency; percent; ratio,other,false,2,1,"UK Alien Earth Split Test +5% CTR Companion: 0.38% 3D: 0.37% Video Companion Carousel delivered higher CTRs, +50% launch rates, and +36% effectiveness, while the 3D Animated Carousel excelled in time spent."
Attributed Installs →,attributed installs,Attributed Installs →,5,1,Disney+ US FY24 H2,count,performance,false,21,2,Attributed Installs → 33.4K
Cost per Engaged User (CPE): Cost to engage a Lapsed user,cost per engaged user cpe cost to engage a lapsed user,Cost per Engaged User (CPE): Cost to engage a Lapsed user,5,4,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,currency,cost,true,57,9,Cost per Engaged User (CPE): Cost to engage a Lapsed user FY24 H2 CPE - Lapsed ROS $3.30 Qualified Engagements
Deduplicated Reach vs. Other TV OEMS,deduplicated reach vs other tv oems,Deduplicated Reach vs. Other TV OEMS,5,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; percent,reach,true,36,6,"Deduplicated Reach vs. Other TV OEMS 134 A global leader in CTV and cross screen advertising, we connect real-world moments with addressable media solutions. In transforming the screen into an interactive, immersive and "
EMEA Disney+ Active User Growth,emea disney active user growth,EMEA Active User Growth,5,1,Disney+ EMEA  FY25 H2,count,performance,false,31,5,EMEA Disney+ Active User Growth Turkey: 460K +27% Greece: 201K +18% Czech: 232K +11% D+ Growth in MAUs (April 25 - September 25)
Engaged Users,engaged users,Engaged Users,5,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2,count; percent,engagement,false,13,2,Data Updated Engaged Users 608K Launch Rate 15%
Lapsed,lapsed,Lapsed,5,4,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,other,false,6,1,Installed: All active LG TV users who had the app installed at some point. Not Installed: All active LG TV users who do not have the app installed. Lapsed: All active LG TV users who did not use the app within the last 6
Lapsed Users,lapsed users,Lapsed Users,5,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,percent,other,false,12,2,"Lapsed Users 24% Of TVs with Disney+ Installed in EMEA, 67%+ are Lapsed (+1ppt vs last half) providing significant opportunity to target this audience and bring them back into Disney+ to subscribe."
Not Installed,not installed,Not Installed,5,1,Disney+ EMEA  FY24 H2,percent,performance,false,13,2,Not Installed Seasonal Promo ROS - Launch Lifts by Market +40%
ROS Lapsed,ros lapsed,ROS Lapsed,5,2,Disney+ EMEA FY25 H1; Disney+ US FY24 H2,percent,other,false,10,2,Investment = $2.56M ROS Lapsed 26% ROS Not Installed 48%
Seasonal Promo ROS - Install Lifts,seasonal promo ros install lifts,Seasonal Promo ROS - Install Lifts,5,1,Disney+ EMEA  FY24 H2,percent,performance,true,34,5,"Seasonal Promo ROS - Install Lifts by Market +203% Seasonal promo exposure generated triple digit install lifts across all markets, with strongest incrementality seen in Spain and Poland"
Seasonal Promo ROS - Launch Lifts,seasonal promo ros launch lifts,Seasonal Promo ROS - Launch Lifts,5,1,Disney+ EMEA  FY24 H2,percent,performance,true,33,5,"Seasonal Promo ROS - Launch Lifts by Market +82% Paid media saw highest launch incrementality among Not Installed audiences over 67%+ across every market, whereas Lapsed generated double digit lifts with the highest rate"
Total Installs,total installs,Total Installs,5,4,Disney+ EMEA  FY24 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,performance,false,14,2,Duration per Session Total Installs: 699K Total Launches: 9.4M
% Attributed Installs of Overall Installs →,attributed installs of overall installs,% Attributed Installs of Overall Installs →,4,1,Disney+ US FY24 H2,currency,performance,false,43,4,% Attributed Installs of Overall Installs → Attributed Installs → $212K
% Not Installed→,not installed,Not Installed,4,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,performance,false,16,2,CPA by EU5 - Not Installed ROS 27%
Acquired User,acquired user,Acquired User,4,4,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,other,false,13,2,Cost per Acquired User (CPA): Cost to acquire a net new user Acquired User: any user that installs and launches Disney+ for a +30 minute session within 7 day attribution window Disney+ invested $1.3M towards Not Installe
BAU,bau,BAU,4,1,Disney+ EMEA  FY25 H2,currency; percent; time,other,false,3,1,+18% CTRCountdown: 0.20% BAU: 0.17% +4% Launch RateCountdown: 14.70% BAU: 14.17%
FY25,fy25,FY25,4,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,other,false,4,1,FY25 - H2 FY25 - H2 at a Glance Investment $2.8M
Global Smart TVs,global smart tvs,Global Smart TVs,4,3,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,other,false,16,3,"Greece: 133K +11% 176M Global Smart TVs D+ Growth in MAUs (April → Sept ‘24) In H2 of FY’24, Disney+ ran in 14 markets including UK, Germany, Spain, France, Italy, Greece, Hungary, Poland, Netherlands, Sweden, Norway, Fi"
H2’25,h2 25,H2’25,4,1,Disney+ EMEA  FY25 H2,count; currency,other,false,5,2,+61% Proxy ConversionsH1’25: 975.1K H2’25: 1.6M +18% ReachH1’25: 14.6M H2’25: 17.3M
Higher Launch Rate,higher launch rate,Higher Launch Rate,4,1,Disney+ EMEA  FY25 H2,percent; ratio,performance,true,18,3,"Power of Video within the Carousel Companion 103% Higher Launch Rate vs Static 59% Higher CTR vs Static Across H2, 13 markets deployed the Carousel Companion unit with 16:9 video, and the format consistently delivered to"
Launch Lift,launch lift,Launch Lift,4,1,Disney+ US FY24 H2,percent,performance,true,11,2,Rotational Carousel: Launch Lift +88%
More Efficient CPA vs,more efficient cpa vs,More Efficient CPA vs,4,1,Disney+ EMEA FY25 H1,percent; ratio,cost,true,21,4,"More Efficient CPA vs. 11% While the Content Store represented just 11% of Disney’s spend in UK and DE, the sponsorship drove 22% of all D+ App Launches and acquired 3x more users than the Home Screen Roadblock"
Static,static,Static,4,2,Disney+ EMEA  FY25 H2; Disney+ US FY24 H2,count; percent; ratio,other,false,6,1,Static 96% Video Companion 32%
Total unique devices reached in June 2024,total unique devices reached in june 2024,Total unique devices reached in June 2024,4,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,reach,false,41,7,High Impact RBs Incremental Reach 6.8M Total unique devices reached in June 2024 1.3M Unique Devices were exposed ONLY to ROS!
"Unique Devices were exposed to Roadblocks, including overlap with ROS",unique devices were exposed to roadblocks including overlap with ros,"Unique Devices were exposed to ROS, including overlap with RB",4,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,other,false,69,10,"High Impact RBs Incremental Reach 5.5M Unique Devices were exposed to Roadblocks, including overlap with ROS Disney’s Native ROS drove 24% incremental reach to the roadblock strategy, engaging 1.3M unique devices that we"
"Unique Devices were exposed to ROS, including overlap with RB",unique devices were exposed to ros including overlap with rb,"Unique Devices were exposed to ROS, including overlap with RB",4,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,other,false,61,10,"High Impact RBs Incremental Reach 3.6M Unique Devices were exposed to ROS, including overlap with RB 6.8M Total unique devices reached in June 2024"
Unique Reach,unique reach,Unique Reach,4,3,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ US FY24 H2,count; percent,reach,true,12,2,Duration per Session Unique Reach 11.6M CPE (Lapsed) $3.30
Acquired Users,acquired users,Acquired Users,3,1,Disney+ US FY24 H2,count; percent,other,false,14,2,Unique Reach / Frequency Acquired Users 6.4K Engaged Users 144.5K
Ad Format,ad format,Ad Format,3,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,ratio,other,false,9,2,"Gain exclusive access and guaranteed share of voice to viewers actively seeking new content and Apps to download with a Native Content Store Roadblock. Markets: UK, ES, DE, US, & BR 16th to 31st of March is available acr"
Avg. Duration,avg duration,Avg Duration,3,1,Disney+ EMEA  FY24 H2,time,engagement,true,13,2,Carousel Static vs Carousel Companion [TABLE] | Carousel Static | Carousel Companion | % Difference CTR | 0.11% | 0.20% | +82% Install Rate* | 0.52% | 0.99% | +90% Launch Rate | 2.32% | 11.74% | +5x Avg. Duration | 56 Mi
Avg. Frequency,avg frequency,Avg. Frequency,3,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,ratio,reach,true,14,2,Data Updated Avg. Frequency 4.58x Avg Duration 58 mins
Banner,banner,Banner,3,3,Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,ratio,other,false,6,1,"As viewers navigate down the LG Home Screen, the Native InLine Banner enriches content discovery for entertainment partners beyond the fold. Ad Format & Availability Banner: 1770x221 2020+ TV Model Years Native ROS & Roa"
Content Store,content store,Content Store,3,1,Disney+ EMEA FY25 H1,percent,other,false,13,2,Investment = $2.56M Content Store 5% EMEA increased investment across High Impact placement during key moments and promo periods. EMEA FY25 H1 Media Strategy by Market
Content Store Roadblock drives 2–4x CTR,content store roadblock drives 2 4x ctr,Content Store Roadblock drives 2–4x CTR,3,1,Disney+ EMEA  FY25 H2,count,other,true,39,7,"Content Store Roadblock drives 2–4x CTR Carousel Video Upgrades 2 Suppression targeting improved Reach, CTR, and CPPC, proving broader targeting can fuel acquisition efficiency. Audience Targeting"
CTR vs. Overall Q3 UK & DE,ctr vs overall q3 uk de,CTR vs. Overall Q3 UK & DE,3,1,Disney+ EMEA  FY25 H2,percent; ratio,other,true,26,6,"CTR vs. Overall Q3 UK & DE 8% Power of the Content Store Roadblock Q3 - UK, DE"
Czech,czech,Czech,3,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,other,false,5,1,Turkey: 460K +27% Greece: 201K +18% Czech: 232K +11% D+ Growth in MAUs (April 25 - September 25)
D+ App Penetration,d app penetration,D+ App Penetration,3,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,other,false,18,3,… D+ App Penetration: EU5 Markets - September ‘25 29% Penetration of LG MAUs
DE,de,DE,3,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,other,false,2,1,Disney gained access to viewers actively seeking apps to download and new content through LG’s Native Content Store Roadblock Markets: 3 Content Store Roadblocks (UK) → 6/1- 6/15 / (DE)→ 6/16- 6/30 5. Q4 Content Store Ro
Disney XLOB FY25 Partnership,disney xlob fy25 partnership,Disney XLOB FY25 Partnership,3,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,currency,other,false,28,4,Disney XLOB FY25 Partnership: $34M Investment across 20 Lines of Business Disney+ Global FY25 Investment - $18M (2x FY24) EMEA accounts for 30% of Disney+ Global Investment +$500K in Added Value Market Activation & Expan
Disney+ App on LG TVs,disney app on lg tvs,Disney+ App on LG TVs,3,1,Disney+ EMEA  FY25 H2,count,other,false,21,5,"Disney+ App on LG TVs: EU5 Disney+ App on LG TVs: EU5 The Disney+ app has established a solid foothold on LG TVs, but with reach at only 30%, nearly 70% of active LG TVs remain untapped, presenting a clear opportunity to"
Frequency,frequency,Frequency,3,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count; ratio,reach,true,9,1,FY25 - H2 at a Glance Frequency 6.13x Reach 17.3M
Growth Since ‘24,growth since 24,Growth Since ‘24,3,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,percent,performance,false,16,3,Global LG webOS TVs +17% Growth Since ‘24 Global Markets
Higher CTR,higher ctr,Higher CTR,3,1,Disney+ EMEA  FY25 H2,percent; ratio,other,true,10,2,"Power of Video within the Carousel Companion 59% Higher CTR vs Static 103% Higher Launch Rate vs Static Across H2, 13 markets deployed the Carousel Companion unit with 16:9 video, and the format consistently delivered to"
Installs to Acquired Users Ratio,installs to acquired users ratio,Installs to Acquired Users Ratio,3,2,Disney+ US FY24 H2; Disney+ US FY25 H1,percent,performance,false,32,5,Cost per Acquired User (CPA): Cost to acquire a net new user 15% Installs to Acquired Users Ratio Installs 263.4K
InstallsH2’24,installsh2 24,InstallsH2’24,3,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,performance,false,13,2,+25% InstallsH2’24: 699K H1’25: 876K +26% ReachH2’24: 11.6M H1’25: 14.6M
Markets,markets,Markets,3,1,Disney+ EMEA  FY25 H2,count; ratio,other,false,7,1,"Power of Video within the Carousel Companion 13x Markets Carousel Companion 59% Higher CTR vs Static Across H2, 13 markets deployed the Carousel Companion unit with 16:9 video, and the format consistently delivered top-t"
mins,mins,mins,3,3,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,other,false,4,1,Paid Media Improves App Engagement 51 mins Exposure to LG paid media led to an average time spent per launch of 55 mins versus the overall Disney+ audience across EMEA markets Disney+ Overall Audience Exposed to Paid Dis
ReachH2’24,reachh2 24,ReachH2’24,3,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,reach,false,10,2,+26% ReachH2’24: 11.6M H1’25: 14.6M +27% LaunchesH2’24: 9.4M H1’25: 12.0M
Roadblocks,roadblocks,Roadblocks,3,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,percent,other,false,10,1,"Investment = $2.25M Roadblocks 10% ROS Lapsed31% In H2’24, Disney EMEA ran 10x Roadblocks across UK, Germany, Sweden, and Denmark and expanded Lapsed ROS Targeting strategy into 7 new countries. EMEA FY24 H2 Media Strate"
ROS Not Installed,ros not installed,ROS Not Installed,3,1,Disney+ EMEA FY25 H1,percent,performance,false,17,3,Investment = $2.56M ROS Not Installed 48% ROS Lapsed 26% EMEA FY25 H1 Media Strategy by Market
Though the D+ install base grew,though the d install base grew,Though the D+ install base grew,3,1,Disney+ US FY24 H2,percent,performance,true,31,6,Though the D+ install base grew Disney+ App Profile on LG TVs 22% Lapsed Users
Total Reach,total reach,Total Reach,3,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,reach,true,11,2,"Data Updated Total Reach 697K Content Store Roadblock Spotlight Q3: UK, DE"
# of Roadblocks,of roadblocks,# of Roadblocks,2,1,Disney+ US FY25 H1,ratio,other,false,15,2,"Holiday Roadblocks Spotlight # of Roadblocks 3x With 21% of total H1 budget, Holiday Promo Roadblocks generated 30% of acquired users, had an 1.75x higher CTR, and a 31% lower CPA vs overall 1H"
% Investment→,investment,Investment,2,1,Disney+ EMEA  FY25 H2,percent,cost,false,13,1,% Investment→ CPE by Secondary Markets- All Lines 8%
*Untargeted RB,untargeted rb,*Untargeted RB,2,2,Disney+ US FY24 H2; Disney+ US FY25 H1,count,other,false,14,2,ROS Not Installed *Untargeted RB: Impressions might also get delivered to Lapsed and Active usersSource: LG Ad Solutions TV Campaigns Data Disney+ FY24-H2 2024. Roadblocks 77%
2025 Sept Offer,2025 sept offer,2025 Sept Offer,2,1,Disney+ EMEA  FY25 H2,count,other,false,15,3,2025 Sept Offer - Moana 2 2025 Sept Offer - Moana 2 AlienEarth
Avg Monthly Freq,avg monthly freq,Avg Monthly Freq,2,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,ratio,other,false,16,3,Duration per Session Avg Monthly Freq 6.5x Unique Reach 11.6M
Avg. Mins/Launch,avg mins launch,Avg. Mins/Launch,2,1,Disney+ EMEA  FY24 H2,time,performance,true,16,3,"RBs Boosts Engagement, ROS Drives Acquisitions [TABLE] | Rotational | Roadblocks Install Rate* | 0.60% | 0.08% CPA | $14.06 | $110.42 CTR | 0.11% | 0.14% Launch Rate | 2.55% | 22.56% Avg. Mins/Launch | 60.05 Mins | 72.25"
Blockbuster Offer 24,blockbuster offer 24,Blockbuster Offer 24,2,1,Disney+ EMEA  FY24 H2,count,other,false,20,3,CPE By Creative (Mature Markets) Blockbuster Offer 24 - Inside Out 2 CPE: $1.44
Content Store RB,content store rb,Content Store RB,2,1,Disney+ US FY24 H2,currency; percent,other,false,16,3,Content Store RB Investment = $2.05M 8%
Content Store Roadblock,content store roadblock,Content Store Roadblock,2,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count; percent,other,false,23,3,"One intro slide Content Store Roadblock: Spotlight Q3 UK, DE Disney gained access to viewers actively seeking apps to download and new content through LG’s Native Content Store Roadblock Markets: 3 Content Store Roadbloc"
Cost per Engaged User (CPE): Cost paid per engaged user,cost per engaged user cpe cost paid per engaged user,Cost per Engaged User (CPE): Cost paid per engaged user,2,1,Disney+ EMEA  FY24 H2,count,cost,true,55,6,Cost per Engaged User (CPE): Cost paid per engaged user EMEA Disney+ 2H’24 CPE 736K Qualified Engaged Users
Customizable real estate surrounds the video window where your,customizable real estate surrounds the video window where your,Customizable real estate surrounds the video window where your,2,2,Disney+ EMEA FY25 H1; Disney+ US FY24 H2,count,other,false,62,9,"Elevate the Smart TV experience with our CTV Video Branded Player, enabling viewers to subscribe to Disney+ directly from their screens. Details Customizable real estate surrounds the video window where your :15/30 ad pl"
D+ Growth in MAUs (Oct 24,d growth in maus oct 24,D+ Growth in MAUs (Oct 24,2,1,Disney+ EMEA FY25 H1,count,reach,false,25,6,"EMEA Active User Growth D+ Growth in MAUs (Oct 24 - March 25) Romania: 274K +31% Greece: 168K +29% Turkey: 359K +27% In H1 of FY’25, Disney+ ran in 16 markets including two new markets: Romania and Czech Republic."
Deduplicated Reach,deduplicated reach,Deduplicated Reach,2,1,Disney+ US FY24 H2,percent,reach,true,18,2,94% Deduplicated Reach vs. 97% Deduplicated Reach vs. LG and Samsung TVs Make Up the Majority of the US Market
Disney+ Global FY25 H1 Investment,disney global fy25 h1 investment,Disney+ Global FY25 H1 Investment,2,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,currency,cost,false,33,5,Disney XLOB FY25 Partnership: Renewed at $17M surpassed Tier 2 in 6 months Disney+ Global FY25 H1 Investment - $6.9M (+63% vs. H1 FY24) EMEA accounts for 40% of Disney+ H1 investment $224K in Added Value secured Market A
Duration per Session,duration per session,Duration per Session,2,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,time,engagement,true,20,3,EMEA FY24 H2 at a Glance Duration per Session 65 mins Total Launches: 9.4M
Engaged UsersH2’24,engaged usersh2 24,Engaged UsersH2’24,2,1,Disney+ US FY25 H1,count,engagement,false,18,3,+23% Engaged UsersH2’24: 46.6K H1’25: 70.0K +30% Acquired UsersH2’24: 40.2K H1’25: 57.2K
Engaged UsersH2’24: 46.6K,engaged usersh2 24 46 6k,Engaged UsersH2’24: 46.6K,2,1,Disney+ US FY25 H1,percent,engagement,false,25,5,+23% Engaged UsersH2’24: 46.6K H1’25: 70.0K +30% Acquired UsersH2’24: 40.2K H1’25: 57.2K
