candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
total reach,3,2,count:3,697K | 1M | 1.4M,Total Reach 697K,Total Reach 1M,Total Reach 1.4M,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-50 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-55 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-7
static,3,2,percentage:2; ratio:1,96% | 64% | 32x,Static 96%,Static 64%,Static: 32x,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-18 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-3
roadblocks,3,2,percentage:3,10% | 77%,Roadblocks 10%,Roadblocks 77%,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-25 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-67 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-14
reachh2,3,2,count:3,11.6M | 11.75M,+26% ReachH2’24: 11.6M H1’25: 14.6M,+16% ReachH2’24: 11.75M H1’25: 13.65M,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-10 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-21 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-44
installsh2,3,2,count:3,699K | 263.5K,+25% InstallsH2’24: 699K H1’25: 876K,+26% InstallsH2’24: 263.5K H1’25: 332.5K,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-10 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-21 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-44
avg frequency,3,2,ratio:3,4.58x | 5x | 4x,Avg. Frequency 4.58x,Avg. Frequency 5x,Avg. Frequency 4x,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-50 | Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-55 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-7
ros not installed,3,1,percentage:3,48%,ROS Not Installed 48%,,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-15 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-44 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-9
ros lapsed,3,1,percentage:3,26%,ROS Lapsed 26%,,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-15 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-44 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-9
content store,3,1,percentage:3,5%,Content Store 5%,,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-15 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-44 | Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-9
launchesh2,2,2,count:2,9.4M | 32.5M,+27% LaunchesH2’24: 9.4M H1’25: 12.0M,+30% LaunchesH2’24: 32.5M H1’25: 42.1M,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-10 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-44
duration per session,2,2,time:2,65 mins | 93.8 mins,Duration per Session 65 mins,Duration per Session 93.8 mins,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-15
avg monthly freq,2,2,ratio:2,6.5x | 4.8X,Avg Monthly Freq 6.5x,Avg Monthly Freq 4.8X,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24 | Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-15
video companion,2,1,percentage:2,4% | 32%,Video Companion 4%,Video Companion 32%,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-18
of roadblocks,2,1,ratio:2,3x | 5x,# of Roadblocks 3x,# of Roadblocks 5x,,Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-1 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-65
lowest cpe,2,1,currency:2,$0.42,[TABLE] x | New Users reached via Roadblocks 0.10% | Highest Install rate 31.8% | Highest Launch Rate $0.42 | Lowest CPE,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-46 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-52
highest launch rate,2,1,percentage:2,31.8%,[TABLE] x | New Users reached via Roadblocks 0.10% | Highest Install rate 31.8% | Highest Launch Rate $0.42 | Lowest CPE,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-46 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-52
highest install rate,2,1,percentage:2,0.10%,[TABLE] x | New Users reached via Roadblocks 0.10% | Highest Install rate 31.8% | Highest Launch Rate $0.42 | Lowest CPE,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-46 | Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-52
engaged usersh2,2,1,count:2,46.6K,+23% Engaged UsersH2’24: 46.6K H1’25: 70.0K,,,Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-21 | Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-44
us/ca,1,1,count:1,44M,[TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-70
untargeted rb,1,1,percentage:1,0.08%,[TABLE] | Install Rate | CPE* | CPA* Disney+ Lapsed | N/A | $3.30 | N/A Disney+ Not Installed | 0.57% | $20.5 | $17.80 Untargeted RB | 0.08% | $0.6 | $110.4,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-67
total proxy conversions,1,1,count:1,1.6M,Total Proxy Conversions* 1.6M,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10
total investment,1,1,currency:1,$595K,Total Investment $595K,,,Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-1
total engaged,1,1,count:1,1.6M,Total Engaged 1.6M,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-62
reachh1,1,1,count:1,14.6M,+18% ReachH1’25: 14.6M H2’25: 17.3M,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-11
proxy conversionsh1,1,1,count:1,975.1K,+61% Proxy ConversionsH1’25: 975.1K H2’25: 1.6M,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-11
new users reached via roadblocks 4 6x frequency,1,1,count:1,1.9M,[TABLE] 1.9M | New Users reached via Roadblocks (4.6x frequency) 4x | 6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall 74% | Lower CPE of $0.42 vs. UK H2 Overall,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-65
native roadblocks,1,1,currency:1,$1.59M,Native Roadblocks : $1.59M,,,Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-56
more efficient cpe vs static,1,1,percentage:1,79%,[TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-33
more efficient cpa vs static,1,1,percentage:1,29%,[TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-33
more average duration/launch vs static,1,1,time:1,+26 Mins,[TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-33
lower cpe of 0 42 vs uk h2 overall,1,1,percentage:1,74%,[TABLE] 1.9M | New Users reached via Roadblocks (4.6x frequency) 4x | 6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall 74% | Lower CPE of $0.42 vs. UK H2 Overall,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-65
launchesh1,1,1,count:1,12.0M,+78% LaunchesH1’25: 12.0M H2’25: 21.2M,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-11
launch ratecountdown,1,1,percentage:1,14.70%,+4% Launch RateCountdown: 14.70% BAU: 14.17%,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-5
launch ratecompanion,1,1,percentage:1,28.42%,+50% Launch RateCompanion: 28.42% 3D:18.97%,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-79
launch rate vs static,1,1,ratio:1,3.7x,[TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-33
latam,1,1,count:1,37M,[TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-70
global lg smart tvs,1,1,count:1,176M,[TABLE] 48M | Europe LG Smart TVs 176M | Global LG Smart TVs 90%+ | Deduplicated Reach Against Other TV OEMs,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-6
europe lg smart tvs,1,1,count:1,48M,[TABLE] 48M | Europe LG Smart TVs 176M | Global LG Smart TVs 90%+ | Deduplicated Reach Against Other TV OEMs,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-6
europe,1,1,count:1,48M,[TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-70
duration,1,1,time:1,55 Mins,Avg Duration 55 Mins,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10
disney+ not installed,1,1,percentage:1,0.57%,[TABLE] | Install Rate | CPE* | CPA* Disney+ Lapsed | N/A | $3.30 | N/A Disney+ Not Installed | 0.57% | $20.5 | $17.80 Untargeted RB | 0.08% | $0.6 | $110.4,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-67
ctrcountdown,1,1,percentage:1,0.20%,+18% CTRCountdown: 0.20% BAU: 0.17%,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-5
cpeh2,1,1,currency:1,$3.30,-21% CPEH2’24: $3.30 H1’25: $2.62,,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-10
cpe lapsed,1,1,currency:1,$3.30,CPE (Lapsed) $3.30,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-24
cost persh1,1,1,currency:1,$2.62,-32% Cost PersH1’25: $2.62 H2’25: $1.79,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-11
cost pers countdown,1,1,currency:1,$0.66,= Cost pers Countdown: $0.66 BAU: $0.66,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-5
cost per proxy conversions,1,1,currency:1,$1.79,Cost Per Proxy Conversions $1.79,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10
cost per companion,1,1,currency:1,$0.28,-36% Cost Per Companion: $0.28 3D: $0.43,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-79
content store rb,1,1,currency:1,$162.92K,Content Store RB: $162.92K,,,Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-56
companion video,1,1,ratio:1,14x,Companion Video: 14x,,,Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-3
companion,1,1,percentage:1,0.38%,+5% CTR Companion: 0.38% 3D: 0.37%,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-79
bundle,1,1,currency:1,$2.5M,Disney XLOB FY25 Partnership: Renewed at $17M & surpassed Tier 2 in 6 months Disney+ Global FY25 H1 Investment - $6.9M (+63% vs. H1 FY24) US accounts for 50% of Disney+ Global H1 investment $310K in Added Value Market Activation & Expansion Live with Paid Media in 24 Markets (up from 21 in FY24) Introduced 3HR Roadblocks Minimums FY25- H1 Bundle vs. SAL Investment Split Bundle: $2.5M SAL: $1.1M Accomplished first to market testing Creative Asset Split Test DMA Roadblock Setup,,,Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-34
avg monthly frequency,1,1,ratio:1,6x,Avg Monthly Frequency 6x,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-10
avg mins/launch,1,1,time:1,60.05 Mins,[TABLE] | Rotational | Roadblocks Install Rate* | 0.60% | 0.08% CPA | $14.06 | $110.42 CTR | 0.11% | 0.14% Launch Rate | 2.55% | 22.56% Avg. Mins/Launch | 60.05 Mins | 72.25 Mins CPE | $6.21 | $0.56,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-69
average durationcountdown,1,1,time:1,68.56 Min,+2% Average DurationCountdown : 68.56 Min BAU: 67.54 Min,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-5
average durationcompanion,1,1,count:1,70.68,-0.5% Average DurationCompanion: 70.68 3D: 71.03,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-79
apac,1,1,count:1,39M,[TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-70
acquisitions,1,1,count:1,2K,Acquisitions 2K,,,Disney+ EMEA FY25 H1/02b_raw_content_by_box.txt#slide-47
acquired usersh2,1,1,count:1,40.2K,+30% Acquired UsersH2’24: 40.2K H1’25: 57.2K,,,Disney+ US FY25 H1/02b_raw_content_by_box.txt#slide-21
acquired users,1,1,count:1,6.4K,Acquired Users 6.4K,,,Disney+ US FY24 H2/02b_raw_content_by_box.txt#slide-7
6x higher launch rate 32% for roadblock vs uk h2 overall,1,1,ratio:1,4x,[TABLE] 1.9M | New Users reached via Roadblocks (4.6x frequency) 4x | 6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall 74% | Lower CPE of $0.42 vs. UK H2 Overall,,,Disney+ EMEA  FY24 H2/02b_raw_content_by_box.txt#slide-65
3d animated,1,1,percentage:1,4%,3D Animated 4%,,,Disney+ EMEA  FY25 H2/02b_raw_content_by_box.txt#slide-18
