candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
installed,6,5,percentage:6,33% | 34% | 37%,- Installers - 76% - +2 ppt HoH - Active Users - 33% - Installed: All active LG TV users who had the a,s - 26% - 66% - Installers - 74% - Active Users - 34% - Installed: All active LG TV users who had the a,s - 22% - 63% - Installers - 78% - Active Users - 37% - Installed: All active LG TV users who had the a,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-18 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
of the h1 investment,6,2,percentage:6,67%,"d3.jpg) - H1 Skew Overview - Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu","mage_rId8.jpg) - ### Notes: Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu","](slide_45_image_rId7.jpg) - Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu",Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-36 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
k static,6,2,currency:6,$48 | $21 | $113,(slide_51_image_rId3.jpg) ### Notes: 3/22 RB 3d: $48K Static: $21K Companion Video: $17K,ge_rId3.jpg) ### Notes: 3/22 RB 3d: $48K Static: $21K Companion Video: $17K,4](slide_61_image_rId4.jpg) ### Notes: Spend 3d: $113K Static: $1.9M Video: $500.5K,Disney+ US FY25 H1/04_metrics_extracted.json#slide-44 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-55 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-43
france,6,2,currency:4; percentage:2,$18.99 | $16.36 | +27%,OS Not Installed Lines – 1H for reference: Italy: $18.99; France: $16.36; 29% Spain: $12.02; 25% Germany:,Lines – 1H for reference: Italy: $18.99; France: $16.36; 29% Spain: $12.02; 25% Germany: $19.69; 39% UK:,reece: 168K +29% - Turkey: 359K +27% - France: 533K +18% - Czech: 219K +16,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-14 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-15
avg duration,6,2,percentage:6,17.45% | 0.37% | 0.13%,Overall CTR 0.15% 0.13% Launch Rate 19.31% 17.45% Avg Duration 95.22 93.75 CPE: 0.94 1.09,in-app vs static alone - - Video-Enabled: - CTR: 0.37%Avg Duration: 100 min - CPE: $2.31 - - - Static:,tion: 100 min - CPE: $2.31 - - - Static: - CTR: 0.13%Avg Duration: 92 min - CPE: $4.32 - - - - x -,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-29 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-71 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-75
of total budget,6,1,percentage:6,8% | 12.6%,"apps to download or new content to view. Notes: 8% of total budget = 12.6% of total installs, 15.9%","new content to view. Notes: 8% of total budget = 12.6% of total installs, 15.9% acquired users. 71% more","on targeted RB. Total launches = 2,258,852 Notes: 8% of total budget = 12.6% of total installs, 15.9%",Disney+ US FY24 H2/04_metrics_extracted.json#slide-37 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-38
of the time,5,5,percentage:5,96% | 98% | 70%,"Lapsed - Investment - While Static creative runs ~96% of the time, prioritize Carousel Companion w/ Vid","Lapsed - Investment - While Static creative runs ~98% of the time, prioritize Carousel Companion w/ Vid",Content Store - Roadblock - Static creative runs 70% of the time; prioritize Carousel Companion w/ Vid,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-44 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-43 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-48
cost to engage a lapsed user,5,4,currency:5,$3.30 | $1.35 | $4.22,ngaged User (CPE): Cost to engage a Lapsed user - $3.30 - Qualified Engagements - - Source: LG Ad Soluti,ngaged User (CPE): Cost to engage a Lapsed user - $1.35 - - Qualified Engagements - Source: LG Ad Soluti,ngaged User (CPE): Cost to engage a Lapsed user - $4.22 - - Qualified Engagements - Source: LG Ad Soluti,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-15 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-49 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-52
turkey,5,3,percentage:5,+11% | 30% | +29%,owth in MAUs (April → Sept ‘24) - Greece: 133K +11% - Turkey: 262K +10% - Spain: 1.2M +8% - Hu,40.60 / 26% Greece: 33.49 / 38% Hungary: 27.37 / 30% Turkey: 50.49 / 41% Poland: 25.18 / 34% Sweden: $,omania: 274K +31% - Greece: 168K +29% - Turkey: 359K +27% - France: 533K,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-19 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-14
hungary,5,3,percentage:4; currency:1,+8% | 38% | 70%,+11% - Turkey: 262K +10% - Spain: 1.2M +8% - Hungary: 259K +4% - UK: 262K +4%,36.03 / 21% Finland: 40.60 / 26% Greece: 33.49 / 38% Hungary: 27.37 / 30% Turkey: 50.49 / 41% Poland:,k: 6.14 / 62% Finland: 5.14 / 69% Greece: $6.00 / 70% Hungary: 5.18 / 60% Sweden: 0.52 cents / 72%,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-19 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26
growth since,5,3,percentage:5,+17% | +11%,y people Experience TV. - Global Markets - 200M - +17% - Growth Since ‘24 - Global LG webOS TVs - 94%+ -,Id3.jpg) ![rId5](slide_38_image_rId5.jpg) - 45M - +11% - Growth Since ‘24 - A global leader in CTV adver,people Experience TV. - US LG webOS TVs - 200M - +17% - Growth Since ‘24 - Global LG webOS TVs - 94%+ -,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-5 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-8 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-8
d+ fy25 av total of,5,3,currency:5,$643 | $6,"FY24 H2: $2.5 FY25 H1: $2.5 D+ FY25 AV Total of: $643, 838 D+ FY25 Q1 AV Total: $276,951 D+ FY25 Q2 AV","Id4.jpg) ### Notes: FY24 H1: $4,254,977 FY25 H1: $6,735,971 D+ FY25 AV Total of: $643, 838 D+ FY25 Q1",",254,977 FY25 H1: $6,735,971 D+ FY25 AV Total of: $643, 838 D+ FY25 Q1 AV Total: $276,951 D+ FY25 Q2 AV",Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
reachh2,4,3,percentage:4,+26% | +16%,- - +27% - LaunchesH2’24: 9.4M - H1’25: 12.0M - +26% - ReachH2’24: 11.6M - H1’25: 14.6M - +25% - Insta,+23% - Engaged UsersH2’24: 46.6K - H1’25: 70.0K - +16% - ReachH2’24: 11.75M - H1’25: 13.65M - +26% - Ins,- - +30% - LaunchesH2’24: 32.5M - H1’25: 42.1M - +16% - ReachH2’24: 11.75M - H1’25: 13.65M - +26% - Ins,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-23 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-30 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-61
installsh2,4,3,percentage:4,+25% | +26%,12.0M - +26% - ReachH2’24: 11.6M - H1’25: 14.6M - +25% - InstallsH2’24: 699K - H1’25: 876K - -21% - CPEH,.0K - +16% - ReachH2’24: 11.75M - H1’25: 13.65M - +26% - InstallsH2’24: 263.5K - H1’25: 332.5K - Source:,.1M - +16% - ReachH2’24: 11.75M - H1’25: 13.65M - +26% - InstallsH2’24: 263.5K - H1’25: 332.5K - +23% -,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-23 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-30 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-61
accounting for,4,3,percentage:4,71%,"forming placement that ran in 2H , accounting for 71% more efficient CPA, 185% higher CTR, and 3.31x h","rforming placement that ran in 2H, accounting for 71% more efficient CPA, 185% higher CTR, and 3.31x h","ment Disney+ high impact strategy, accounting for 71% more efficient CPA in FY24 H2. - Content Store -",Disney+ US FY24 H2/04_metrics_extracted.json#slide-39 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-48 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-46
of total h1 budget,4,2,percentage:4,21% | 31%,"e_rId3.jpg) - Holiday Roadblocks Spotlight - With 21% of total H1 budget, Holiday Promo Roadblocks gene","3.jpg) - Spring Promo Roadblocks Spotlight - With 31% of total H1 budget, Spring Promo Roadblocks gener",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-43 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-38
of the international investment but drove over,4,2,percentage:4,5% | 11%,In FY25-H1 the Content Store Roadblock was only 5% of the international investment but drove over,of the international investment but drove over 11% of total launches and contributed to 1.3M total,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-65 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-36
of h1 investment,4,2,percentage:4,33%,"impact and optimize performance SAL accounted for 33% of H1 investment, fueling major blockbuster launc","Id7](slide_44_image_rId7.jpg) - SAL accounted for 33% of H1 investment, fueling major blockbuster launc","_44_image_rId4.jpg) ### Notes: SAL accounted for 33% of H1 investment, fueling major blockbuster launc",Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-66 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
n/a november,4,2,currency:4,$457,"mage_rId7.jpg) ### Notes: October: N/A November: $457,875 December: $1,164,250 January: N/A February: $","blocks H1: 14 Roadblocks October: N/A November: $457,875 December: $1,164,250 January: N/A February: $",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-24 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-31 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-24
m we can clear within the quarter for carousel onl,4,2,currency:4,$1,_rId4.jpg) ### Notes: 61.2M impressions./ almost $1M we can clear within the quarter for Carousel Onl,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-33 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-37 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-33
m video,4,2,currency:4,$1.9 | $500.5,age_rId4.jpg) ### Notes: Spend 3d: $113K Static: $1.9M Video: $500.5K,### Notes: Spend 3d: $113K Static: $1.9M Video: $500.5K,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-44 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-43
m endeavor - disney streaming global invested,4,2,currency:4,$17 | $9.4,p Highlights - FY25 XLOB Partnership APPROVED at $17M Endeavor - Disney Streaming Global invested $9.4,"$17M Endeavor - Disney Streaming Global invested $9.4M with LG Ads in FY24, EMEA accounted for $4.3M","$17M Endeavor - Disney Streaming Global invested $9.4M with LG Ads, Domestic accounted for $3.8M of t",Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-4
m - sal,4,2,currency:4,$2.5 | $1.1,5- H1 Bundle vs. SAL Investment Split - Bundle: $2.5M - SAL: $1.1M - Accomplished first to market te,. SAL Investment Split - Bundle: $2.5M - SAL: $1.1M - Accomplished first to market testing - Creat,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
k towards lapsed,4,2,currency:4,$220,Id4](slide_5_image_rId4.jpg) ### Notes: 2H24 was $220K towards lapsed 17.2M impressions 659.9K launches,launched the Disney+ App for 2+ minutes 2H24 was $220K towards lapsed 17.2M impressions 659.9K launches,Id4](slide_2_image_rId4.jpg) ### Notes: 2H24 was $220K towards lapsed 17.2M impressions 659.9K launches,Disney+ US FY25 H1/04_metrics_extracted.json#slide-35 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-37 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-35
k lapsed budget disney+ achieved an efficient,4,2,currency:4,$696.7 | $3.30 | $674.2,- FY24 H2 CPE - Lapsed ROS - - With $696.7K Lapsed budget Disney+ achieved an efficient $3.3,"96.7K Lapsed budget Disney+ achieved an efficient $3.30 CPE in H2, re-engaging 211K Lapsed users back int",ge_rId3.jpg) - FY25 H1 CPE - Lapsed ROS - - With $674.2K Lapsed budget Disney+ achieved an efficient $4.4,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-15 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-27
december,4,2,currency:4,$1,"Notes: October: N/A November: $457,875 December: $1,164,250 January: N/A February: $133,245 March: $1","blocks October: N/A November: $457,875 December: $1,164,250 January: N/A February: $133,245 March: $1",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-24 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-31 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-24
bundle accounted for,4,2,percentage:4,67%,"mage_rId8.jpg) - ### Notes: Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu","](slide_45_image_rId7.jpg) - Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu","_image_rId4.jpg) ### Notes: Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu",Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-36 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
almost,4,2,currency:4,$1,_rId4.jpg) ### Notes: 61.2M impressions./ almost $1M we can clear within the quarter for Carousel Onl,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-33 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-37 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-33
k not installed ros,4,1,currency:4,$220 | $80,"ive = 40%, Lapsed = 60%. ### Notes: LAPSED ROS - $220k Not Installed ROS: $80k 300k over the course of","### Notes: LAPSED ROS - $220k Not Installed ROS: $80k 300k over the course of 6 months Adam, Laura, Me",end of September H2 Spend: CSRB: $163KLapsed ROS: $220K Not Installed ROS: $80K RB: $1.59M,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
they only represent,3,3,percentage:3,25%,"hly Active Users are growing, they only represent 25% of LG TV Monthly Active Users. This represents si","ly Active Users are growing, they only represent 25% of LG TV Monthly Active Users . This represents s",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-19 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-24 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-24
renewed at,3,3,currency:3,$17,hts - - Disney XLOB FY25 Partnership: Renewed at $17M surpassed Tier 2 in 6 months - Disney+ Global FY,hts - - Disney XLOB FY25 Partnership: Renewed at $17M & surpassed Tier 2 in 6 months - Disney+ Global,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
of devices from country,3,3,percentage:3,10%,slide_45_image_rId3.jpg) - Holdout Segmentation - 10% of devices from country’s ad server traffic - -,slide_63_image_rId3.jpg) - Holdout Segmentation - 10% of devices from country’s ad server traffic - -,slide_53_image_rId3.jpg) - Holdout Segmentation - 10% of devices from country’s ad server traffic - -,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-77 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-57
non installers - lapsed users,3,3,percentage:3,22% | 64%,image_rId4.jpg) - Non Installers - Lapsed Users - 22% - 63% - Installers - 78% - Active Users - 37% - I,image_rId4.jpg) - Non Installers - Lapsed Users - 64% - 21% - Installers - 79% - Active Users - 36% - I,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
m towards not installed native ros lines,3,3,currency:3,$1.3 | $1.24,"H2 CPA - Not Installed ROS - - Disney+ invested $1.3M towards Not Installed native ROS lines, acquirin","H1 CPA - Not Installed ROS - - Disney+ invested $1.24M towards Not Installed native ROS lines, acquirin",,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-26 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-45 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-24
last half was,3,3,percentage:3,44% | 77%,ther markets always on -Turkey $44 last half was 44% not installed - went down 3% points ^^ More spor,lide_17_image_rId5.jpg) ### Notes: Last half was 77% roadblocks 11% ROS lapsed 8% content store roadbl,lide_20_image_rId5.jpg) ### Notes: Last half was 77% roadblocks 11% ROS lapsed 8% content store roadbl,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-29 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-29
k in added value - market activation & expansion,3,3,currency:3,$500 | $310,ounts for 30% of Disney+ Global Investment - +$500K in Added Value - Market Activation & Expansion,nts for 50% of Disney+ Global H1 investment - $310K in Added Value - Market Activation & Expansion,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
k in added value,3,3,currency:3,$113.25 | $310,dded Value Spotlight - Disney+ received more than $113.25K in added value (over 9M impressions) in H2’24 th,"rId3.jpg) - XLOB Added Value Snapshot - Fueled by $310K in added value, LG Ads delivered 20M impressions",,Disney+ US FY24 H2/04_metrics_extracted.json#slide-35 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-38 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-37
in 6 months - disney+ global fy25 h1 investment,3,3,currency:3,$6.9,in 6 months - Disney+ Global FY25 H1 Investment - $6.9M (+63% vs. H1 FY24) - EMEA accounts for 40% of,in 6 months - Disney+ Global FY25 H1 Investment - $6.9M (+63% vs. H1 FY24) - US accounts for 50% of Di,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
holdout segmentation,3,3,percentage:3,10%,slide_45_image_rId3.jpg) - Holdout Segmentation - 10% of devices from country’s ad server traffic - -,slide_63_image_rId3.jpg) - Holdout Segmentation - 10% of devices from country’s ad server traffic - -,slide_53_image_rId3.jpg) - Holdout Segmentation - 10% of devices from country’s ad server traffic - -,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-77 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-57
growth,3,3,percentage:3,58% | 15%,etitors and across all other Disney+ countries at 58% growth. Italy saw an 11% increase in overall inst,e time in app Last Half 52 overall 60 min exposed 15% growth,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-21 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-19 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-57
global lg webos tvs,3,3,percentage:3,94%,- +17% - Growth Since ‘24 - Global LG webOS TVs - 94%+ - Deduplicated Reach vs. Other TV OEMS ![rId4](s,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-5 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-8 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-8
d+ fy25 q2 av total,3,3,currency:3,$366,"+ FY25 Q1 AV Total: $276,951 D+ FY25 Q2 AV Total: $366,887","+ FY25 Q1 AV Total: $276,951 D+ FY25 Q2 AV Total: $366,887 Bundle vs. SAL Investment Split (100% Bundle",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
d+ fy25 q1 av total,3,3,currency:3,$276,"FY25 AV Total of: $643, 838 D+ FY25 Q1 AV Total: $276,951 D+ FY25 Q2 AV Total: $366,887","FY25 AV Total of: $643, 838 D+ FY25 Q1 AV Total: $276,951 D+ FY25 Q2 AV Total: $366,887 Bundle vs. SAL",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
at a,3,3,currency:3,$17.80 | $15.25,g 74K new users across EMEA markets in 2H’24 at a $17.80 CPA - Sign-Up + Subscription Proxy - - - - Imp,cquiring 81K+ new users across EMEA in 1H’25 at a $15.25 CPA = $2.00 more efficient vs last half - Sign-Up,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-26 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-45 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-24
were delivered through a mix of targeted ros and,3,2,percentage:3,100%,"were delivered through a mix of Targeted ROS and 100% SOV High Impact Roadblocks, driving strong visibi",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-36 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
not installed,3,2,percentage:3,4.08% | 1.17% | 24%,ge_rId4.jpg) ### Notes: Julia Launch Rate Lapsed 4.08% Not Installed 1.17% Suppress Heavy Active 10.00%,tes: Julia Launch Rate Lapsed 4.08% Not Installed 1.17% Suppress Heavy Active 10.00%,"24). Q3’24 data: Installed = 76%, Not Installed = 24%, Active = 40%, Lapsed = 60%. ### Notes: LAPSED R",Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-25 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
m last time,3,2,currency:3,$1.42,### Notes: 1.7x more investment 2.05 vs. 3.47 = $1.42m Last time: 8RB + 1 Content Store; This time: 14R,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-30 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-61 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-30
